"_ID","SUM_NUM","MEANING","FORECASE"
66,66,"พลังแห่งอารมณ์และความรู้สึก","รวมกันได้ 12 ซึ่งเป็นกำลังดาวของพระราหู เลข 66 เป็นคนที่รักอะไรก็รักอย่างลุ่มหลง เป็นคนที่หลงมอมเมาได้ง่าย เพราะไม่ค่อยพิจารณาไตร่ตรองอะไรให้รอบคอบรักอะไรก็มักจะทุ่มเทลงไปทั้งตัว เป็นคนมัวเมาแต่โลกีย์ถือเป็นเลขอันตราย ต้องระมัดระวังให้มาก เพราะใต้อิทธิพลของเลขนี้จะทำให้พัวพันกับสิ่งยั่วเย้าอารมณ์ทั้งปวง"
67,67,"พลังแห่งความผิดหวัง ทุกข์เศร้า","เป็นเลขแห่งความผิดหวัง ทุกข์เศร้า เพราะดาวเสาร์ (7) รวมกันได้ 13 เป็นเลขไม่ดีอีก มองดูเป็นเลขครึ่งๆกลางๆ จะดีก็ไม่ใช่ จะร้ายก็ไม่เชิง เพราะมีทั้งดาวโภคทรัพย์และดาวแห่งทุกข์ และอุปสรรคมารวมกัน แต่ชีวิตมักพบอุปสรรคมากมาย จะผิดหวังในความรัก ครอบครัวจะแตกร้าว บ้านแตกสาแหรกขาด เป็นเลขที่แสดงออกถึงความขัดแย้งกันเอง อย่างรุนแรง จะตกต่ำในบั้นปลายของชีวิต ระวังอุบัติเหตุด้วย"
68,68,"พลังแห่งอบายมุข","หลงตัวเอง คลั่งอะไรไม่มีเหตุผล เป็นเลขมัวเมาอีกเลขหนึ่ง โดยเฉพาะจะมัวเมาในอุดมคติ หลงใหลปลื้มกับอบายมุข เป็นเลขที่แสดงถึงหลักการมีศรัทธาจริตอันลุ่มหลง บ้าคลั่งในศาสนา หลงตัวเอง หลงในสังคม มักชอบทำตัวให้เด่น ชีวิตสำเร็จยากเพราะมีพลังความมัวเมาแฝงอยู่ การทำการสิ่งใดให้สำเร็จต้องอาศัยแรงกายตัวเองล้วนๆไม่มีผู้ใหญ่ให้การช่วยเหลือใดๆ ความรักเป็นไปแบบหลงมากกว่ารัก"
69,69,"พลังความอ่อนไหว ","เป็นเลขดี ปานกลาง   เป็นคนช่างอ่อนไหว ช่างฝันมองโลกในแง่ดี ระวังการถูกชักจูงได้ง่าย แต่จะมีผู้ใหญ่ให้การสนับสนุนอยู่ ทำให้ชีวิตไม่ลำบากนักแต่ก็ไม่สำเร็จแบบพรุแตกเสียทีเดียว เป้นพลังทางกลางๆอยู่ที่ตัวคุณในการดำเนินชีวิตมากกว่าต้องใจแข็งมีสติ"
70,70,"พลังแห่งเคราะห์กรรม","เป็นเลขแห่งความทุกโศกอย่างแท้จริง ไม่สามารถประสบความสำเร็จในชีวิตได้ และยังมีอุปสรรคต่างๆเกิดขึ้น และมีกรรมเก่าที่ให้ผลรุนแรง บ่งบอกถึงความอำมหิต โรคประสาท อำนาจเร้นลับ อำนาจมืด โรคภัยร้ายแรง การอัตวินิบาตกรรม การถูกคุมขัง ถูกปล้น และภัยธรรมชาติอย่างร้ายแรง มักถูกปล่อยเกาะไว้อย่างโดดเดี่ยว ไม่มีใครให้ความช่วยเหลือ"
71,71,,
72,72,,
73,73,,
74,74,,
75,75,,
76,76,,
77,77,,
78,78,,
79,79,,
80,80,,
81,81,,
82,82,,
83,83,,
84,84,,
85,85,,
86,86,,
87,87,,
88,88,,
89,89,,
90,90,,
91,91,,
92,92,,
93,93,,
94,94,,
95,95,,
96,96,,
97,97,,
98,98,,
99,99,,
100,100,,
